Year,Month,Channel,Brand,Weight range,Units (in 1000),Value (in 1000 rub),Volume (in 1000 kg),Number of stores
2020,6,Hypermarkets,Orange,400-599G,0.7672,92.905343,0.3069,117
2020,6,Hypermarkets,Deep,<200G,1.1305,55.474507,0.2148,82
2020,6,Hypermarkets,Deep,350-399G,0.0013,0.425287,0.0005,1
2020,6,Hypermarkets,Lime,400-599G,0.211,44.131594,0.0843,0
2020,6,Minimarkets,Green,200-249G,45.3431,3056.350782,9.522,7767
2020,6,Minimarkets,Green,300-349G,0.0013,0.142293,0.0004,2
2020,6,Minimarkets,Green,350-399G,76.6523,6777.613965,26.8282,8911
2020,6,Minimarkets,Green,400-599G,5.9658,822.030462,2.9829,1480
2020,6,Minimarkets,Green,600-899G,0.4157,66.62911,0.3118,308
2020,6,Minimarkets,Blue,400-599G,5.8056,1161.256081,2.3222,1295
2020,6,Minimarkets,Yellow,350-399G,18.7903,1016.720657,6.7645,2074
2020,6,Minimarkets,Black,200-249G,3.3244,262.774193,0.7646,1783
2020,6,Minimarkets,Black,400-599G,0.5825,119.821694,0.2621,235
2020,6,Minimarkets,Red,350-399G,1.3844,236.517256,0.5123,320
2020,6,Minimarkets,White,<200G,1.34,120.12206,0.2412,367
2020,6,Minimarkets,Delicate,400-599G,0.8894,92.652783,0.4446,608
2020,6,Minimarkets,Orange,250-299G,0.0027,1.081717,0.0007,2
2020,6,Minimarkets,Orange,400-599G,0.5157,56.30877,0.2063,338
2020,6,Minimarkets,Pastel,250-299G,1.0837,49.519426,0.3034,701
2020,6,Minimarkets,Mat,400-599G,0.5387,47.024197,0.2693,121
2020,6,Supermarkets,Green,200-249G,75.9334,4901.720639,15.946,10036
2020,6,Supermarkets,Green,350-399G,96.8199,7862.024497,33.887,8203
2020,6,Supermarkets,Green,400-599G,14.8417,1864.033093,7.4208,1810
2020,6,Supermarkets,Green,600-899G,0.1094,15.912793,0.082,71
2020,6,Supermarkets,Blue,400-599G,20.4412,4241.478373,8.1765,2246
2020,6,Supermarkets,Yellow,350-399G,31.2794,1824.296596,11.2606,2090
2020,6,Supermarkets,Red,350-399G,8.0562,1209.394551,2.9808,630
2020,6,Supermarkets,Black,200-249G,4.3128,302.101449,0.9919,1587
2020,6,Supermarkets,Black,400-599G,3.1105,565.056658,1.3997,1088
2020,6,Supermarkets,Deep,<200G,1.7589,476.183387,0.3342,97
2020,6,Supermarkets,Deep,350-399G,0.0245,7.848517,0.0087,6
2020,6,Supermarkets,Deep,400-599G,0.0558,27.373598,0.0279,43
2020,6,Supermarkets,Pale,<200G,0.0135,3.280559,0.0026,7
2020,6,Supermarkets,Pale,400-599G,1.3282,371.495588,0.5313,220
2020,6,Supermarkets,Delicate,400-599G,2.1193,223.758046,1.0596,1456
2020,6,Supermarkets,Vivid,<200G,0.3927,60.613095,0.0707,0
2020,6,Supermarkets,Vivid,350-399G,0.5521,120.995908,0.1933,0
2020,6,Supermarkets,Glossy,300-349G,0.1282,24.489549,0.0423,0
2020,6,Supermarkets,Glossy,400-599G,0.3336,149.109018,0.1667,0
2020,7,Hypermarkets,Green,200-249G,15.1169,870.325083,3.1746,608
2020,7,Hypermarkets,Green,350-399G,87.8911,7403.354863,30.7618,714
2020,7,Hypermarkets,Green,400-599G,21.0883,2552.483087,10.5441,578
2020,7,Hypermarkets,Green,600-899G,0.0356,6.283229,0.0267,10
2020,7,Hypermarkets,Blue,400-599G,14.4919,2822.831024,5.7967,575
2020,7,Hypermarkets,Black,200-249G,7.9988,472.153171,1.8397,475
2020,7,Hypermarkets,Black,400-599G,0.7098,116.373314,0.3194,166
2020,7,Hypermarkets,Red,350-399G,2.7746,382.445638,1.0267,151
2020,7,Hypermarkets,White,<200G,3.0071,290.430785,0.5413,97
2020,7,Hypermarkets,Yellow,350-399G,3.0332,201.709554,1.0919,172
2020,7,Hypermarkets,Purple,400-599G,0.5598,112.794113,0.2239,183
2020,7,Hypermarkets,Orange,250-299G,0.0062,1.986265,0.0017,3
2020,7,Hypermarkets,Orange,400-599G,0.7859,93.897746,0.3144,117
2020,7,Hypermarkets,Lime,400-599G,0.2265,47.412949,0.0906,57
2020,7,Hypermarkets,Pink,<200G,0.2089,35.509419,0.0397,0
2020,7,Hypermarkets,Pink,350-399G,0.0011,0.149852,0.0004,0
2020,7,Minimarkets,Green,200-249G,50.7063,3398.473048,10.6483,8349
2020,7,Minimarkets,Green,300-349G,0.0001,0.010941,0,0
2020,7,Minimarkets,Green,350-399G,63.5335,5999.003434,22.2367,8630
2020,7,Minimarkets,Green,400-599G,6.463,909.795361,3.2316,1457
2020,7,Minimarkets,Green,600-899G,0.4626,79.825211,0.347,307
2020,7,Minimarkets,Blue,400-599G,7.2124,1518.623836,2.8849,1343
2020,7,Minimarkets,Yellow,350-399G,8.89,612.199476,3.2004,1973
2020,7,Minimarkets,Black,200-249G,2.8537,235.936746,0.6564,1216
